venue-name,venue-address
1015 Folsom,"1015 Folsom St, San Francisco"
111 Minna Gallery,"111 Minna St, San Francisco"
7th West,"1255 7th St, Oakland"
Adobe Books & Arts Cooperative,"3130 24th St, San Francisco"
Amnesia,"853 Valencia St, San Francisco"
Asiento,"2730 21st St, San Francisco"
Audio,"316 11th St, San Francisco"
August Hall,"420 Mason St, San Francisco"
Aura,"389 S. First St, San Jose"
B4bel4b Gallery,"184 10th St, Oakland"
Back Bar SoFa,"418 S Market, San Francisco"
Badlands,"2003 K St, Sacramento"
Bar Fluxus,"18 Harlan Place, San Francisco"
Barmageddon,"126 E Kern Ave, Tulare"
Bergerac,"316 11th St, San Francisco"
Bill Graham Civic Auditorium,"99 Grove St, San Francisco"
Bissap Baobab,"381 15th St, Oakland"
Bottom of the Hill,"1233 17th St, San Francisco"
Brick and Mortar,"1710 Mission St, San Francisco"
BRIX 581,"581 5th St, Oakland"
Cardiff and Cocktails,"260 E Campbell Ave, Campbell"
Cat Club,"1190 Folsom St, San Francisco"
Club 1220,"1220 Pine St, Walnut Creek"
Club Legends,"3075 N Maroa Ave, Fresno"
Club X,"715 Harrison St, San Francisco"
Cornerstone,"2367 Shattuck Ave, Berkeley"
Dada Bar,"65 Post St, San Francisco"
Danzhaus (The Gingerbread House),"1275 Connecticut St, San Francisco"
District 30,"1002 K St, Sacramento"
DNA Lounge,"375 11th St, San Francisco"
Driftwood,"1225 Folsom St, San Francisco"
El Rio,"3158 Mission St, San Francisco"
Elbo Room,"647 Valencia St, San Francisco"
Enso Nightclub and Bar,"97 E Santa Clara St, San Jose"
ERA Art Bar and Lounge,"19 Grand Ave, Oakland"
F8,"1192 Folsom, San Francisco"
Fox Theater,"1807 Telegraph Ave, Oakland"
Fulton 55,"875 Divisadero St, Fresno"
Gray Area Art + Technology,"2665 Mission St, San Francisco"
Guava,"4210 Holden St, Emeryville"
Halycon,"314 11th St, San Francisco"
Harlot,"46 Minna St, San Francisco"
Harlows Restaurant & Night Club,"2708 J St, Sacramento"
Hawthorn,"46 Geary St, San Francisco"
Hopmonk Tavern,"230 Petaluma Ave, Sebastopol"
Hue SF,"447 Broadway St, San Francisco"
Liquid Restaurant & Lounge,"32 S 3rd St, San Jose"
Lounge 3411,"3411 MacArthur Blvd, Oakland"
Love + Propaganda,"85 Campton Pl, San Francisco"
Madrone Art Bar,"500 Divisadero St, San Francisco"
Mars Bar,"798 Brannan St, San Francisco"
MatrixFillmore,"3138 Fillmore St, San Francisco"
Mercer,"255 Rhode Island St, San Francisco"
Meridian Gallery,"1007 General Kennedy Ave, Ste 209, San Francisco"
Mezzanine,"444 Jessie St, San Francisco"
Milk Bar,"1840 Haight St, San Francisco"
Monarch,"101 6th St,  San Francisco"
Monroe,"473 Broadway St, San Francisco"
MOTIV,"1209 Pacific Ave, Santa Cruz"
Naming Gallery,"335 15th St, Oakland"
New Karibbean City,"1408 Webster St, Oakland"
Nor Cal Lights,"18 N 1st St, San Jose"
Oakland Metro Operahouse,"522 2nd St, Oakland"
Oakland Secret,"577 5th St, Oakland"
Oddjob,"1337 Mission St, San Francisco"
OMG,"43 6th St, San Francisco"
Origin SF,"1538 Fillmore St, San Francisco"
Parliament,"811 Washington St, Oakland"
Phonobar,"370 Grove St, San Francisco"
Pure Lounge,"146 S Murphy Ave, Sunnyvale"
Rickshaw Stop,"155 Fell St, San Francisco"
RS94109,"835 Larkin St, San Francisco"
San Jose Live,8 S 1st St San Jose
Satori,"400 South 1st St, San Jose"
Shadow Ultra Lounge,"341 13th St, Oakland"
Shadowbox,"1741 Alcatraz Ave, Berkeley"
Skyhigh Odditorium,"1255 26th St #101, Oakland"
Slate Bar,"2925 16th St, San Francisco"
Social Hall,"1270 Sutter St, San Francisco"
SomaR Bar,"1727 Telegraph Ave, Oakland"
Spirithaus Gallery,"2217 Adeline St, Oakland"
Starline Social Club,"2236 Martin Luther King Jr. Way, Oakland"
Switch Lounge and Nightclub,"5665 N. Blackstone Ave Suite 110, Fresno"
Sunrise Event Center,"11167 Trade Center Dr, Rancho Cordova"
Temple,"540 Howard St, San Francisco"
The Catalyst,"1011 Pacific Ave, Santa Cruz"
The District Theater,"7430 Monterey Rd, Gilroy"
The EndUp,"401 6th St, San Francisco"
The Factory-Sound Factory,"525 Harrison St, San Francisco"
The Grand,"520 4th St, San Francisco"
The Great Northern,"119 Utah St, San Francisco"
The Honey Hive Gallery,"4117 Judah St, San Francisco"
The Independent,"628 Divisadero St, San Francisco"
The Knockout,"3223 Mission St, San Francisco"
The Layover Music Bar & Lounge,"1517 Franklin St, Oakland"
The Legionnaire Saloon,"2272 Telegraph Ave, Oakland"
The Midway,"900 Marin St, San Francisco"
The New Parish,"1743 San Pablo Ave, Oakland"
The Night Light,"311 Broadway, Oakland"
The Public Works,"161 Erie St, San Francisco"
The Regency Ballroom,"1300 Van Ness Ave, San Francisco"
The Rock Steady,"1741 San Pablo Ave, Oakland"
The Ruby Room,"132 14th St, Oakland"
The Sanctuary,"303 W Madison St, Sacramento"
The Spot,"201 Orchard City Dr, Campbell"
The STUD,"399 9th St, San Francisco"
The Warfield,"982 Market St, San Francisco"
UC Theatre,"2036 University Ave, Berkeley"
Underground SF,"424 Haight St, San Francisco"
Verge Nightclub,"1935 Galindo St, Concord"
VERSO,"1525 Mission St, San Francisco"
Vinyl Dreams,"593 Haight St, San Francisco"
Wish,"1539 Folsom St, San Francisco"
